question_order,question_answer_group_id,speaker,role,company,content,year,quarter
4,9,James Mitchell,Analyst,Seaport Global Securities,Yeah. I could try.,2022,1
5,9,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"I'll just add to that. I cannot foresee any scenario at all where you're not going to have a lot of volatility in markets goi ng forward. We've already
spoken about the enormous strength of the economy, QT, i nflation, war, commodity prices. There's almost no chance you won't have volatile
markets. That could be good or of bad for trading, but there's almost no chance it won't happen and I think people should be prepared for that.",2022,1
6,9,James Mitchell,Analyst,Seap ort Global Securities,All right. Appreciate the color.,2022,1
0,10,Ebrahim H. Poonawala,Analyst,Inc.,"Good morning. I guess just one more question on the macro outlook. I guess we can debate whether or not we get into a recession over the
next year. But, Jamie, would love to hear your thoughts around as we think about just the medium term, do you see a better Ca pEx cycle for
the US econ omy? We've heard a lot about reshoring, labor productivity, how companies are dealing with it. Just given the lens you have i n
terms of large corporates, middle market customers, do you see some pent -up demand for CapEx spending that's going to be a big dr iver of
growth, maybe not for the next six months but as we think about the medium term next few years?",2022,1
1,10,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yes, in general, because as people are spending money and you need to produce more goods and all that, yes, we generally see CapEx
going up and I've forgot the exact number. You're better off looking with our great economists forecast for that than asking me. And we see it
in the borrowing a little bit.",2022,1
2,10,Jeremy Barnum,Chief  Financial Officer,JPMorgan Chase & Co.,"Now, we do see pretty nice loan growth in the Commercial Bank. I mean, there's a bunch of different factors there. It could b e some inventory
effects and so on, but we'll see, but, yeah.",2022,1
3,10,Ebrahim H. Poonawala,Analyst,Inc.,"And just on that front, like have you seen any improvement in supply chains and how big a setback was the Russian war to supp ly chain
improvements?",2022,1
4,10,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,Very hard to tell. There was some improvement and then there was Ukraine and now it's all mixed again. So it's hard to tell.,2022,1
5,10,Ebrahim H. Poonawala,Analyst,Inc.,"Got it. And just one follow up around you launched the UK digital bank last month. Any early wins in terms of how that's playing out? Any
perspective on what the markers are as you think about how that strategy plays out? I'm sure you're going to talk about that at Investor Day
but just wondering any early though ts.",2022,1
6,10,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,Yeah. We’ll leave that to Investor Day.,2022,1
7,10,Ebrahim H. Poonawala,Analyst,Inc.,Thank you.,2022,1
0,11,Erika Najarian,Analyst,UBS Securities LLC,Hi. Good morning. My questions have been asked and answered. I'll see you guys at Investor Day.,2022,1
1,11,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"All right. Thanks, Erika.",2022,1
0,12,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Folks, thank you very much.",2022,1
1,12,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,Thanks very much.,2022,1
2,12,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,See you at Investor Day.,2022,1
3,12,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,May 23rd.,2022,1
4,12,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,Okay. Bye.,2022,1
0,1,Steven Chubak,Analyst,Wolfe Research LLC,"Hey. Good morning,  Jeremy. Hey, good morning, Jamie. Wanted to start off with a question on capital targets. I don't believe you provided an
update on your firm wide CET1 target of 12.5% to 13% . And given the new higher SCB, future increases in your GSIB surcharge to 4.5% , your
regulatory minimum is slated to increase beyond 13% by 2024, which is also beyond the horizon reflected on slide 3. And just given that high
regulatory minimum, elevated SCB volatility in recent years, what do you believe is an appropriate capital tar get for you to manage to from
here over the long term?",2022,2
1,1,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Yeah, Steve, good question. So, obviously, you're right in the sense that we didn't talk about 2024 on the slide. And as you note, we have two
GSIB bucket increases coming: one in the first quarter of 2023 and the other one in the first quarter of 2024. So we had work ed all that out at
Investor Day and talked about 12.5% to 13% target, which implies sort of  a modest buffer to be used flexibly based on what we expected
would be some increase in SCB. Obviously, the increase came in a bit higher than expected, so for now, we're really focused on 1Q 2023. Of
course all else equal, you would assume that that 12.5 % to 13% for 2024 would be a little bit higher, but there is another round of SCB and
that's a long way away. And as you know and as you can see, there's a lot of organic capital generation. So we'll  kind of cross that bridge
when we come to it.",2022,2
2,1,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,We intend to drive that  SCB down by reducing the things that created it.,2022,2
3,1,Steven Chubak,Analyst,Wolfe Research LLC,"Fair enough. And just for my follow up on the loan growth outlook, loan growth continues to surprise positively. Certainly, the tone, Jeremy,
that you conveyed was quite constructive despite the challenging macro backdrop. But with companie s citing higher inventory level s, declining
personal savings rates, growing inflationary  pressures, whole list of potential headwinds that could negatively impact loan growth from here,  I
was hoping you could just speak to the outlook for loan growth across some of the different busines ses. And what do you see as a sustainable
run rate of loan growth over the medium term?",2022,2
4,1,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Yeah, so we've talked as you know, Steve, about sort of a mid- to-high- single -digits loan growth expectation for this year, and that outlook is
more or less still in place. Obviously, we only have half the year left. We continue to see quite robust C&I growth, both higher revolver utilization and new account origination.  We're al so seeing good growth in CRE. And, of course, we continue to see very robust C ard loan
growth, which is nice to see. Outlook beyond this year, I'm not going to give now. And obviously, as you note, it's going to be pretty much a
function of the ec onomic environment, so.",2022,2
5,1,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yeah, the only thing I would like to add is that certain loan growth is discretionary and portfolio- based. Think of mortgages, and there's a good
chance we're going to drive it down substantially.",2022,2
6,1,Steven Chubak,Analyst,Wolfe Research LLC,Thanks so much for taking my questions.,2022,2
